case:concept:name,concept:name,repeat_count
declaration 102464,Declaration SUBMITTED by EMPLOYEE,3
declaration 124561,Declaration SUBMITTED by EMPLOYEE,3
declaration 120488,Declaration SUBMITTED by EMPLOYEE,3
declaration 109528,Declaration SUBMITTED by EMPLOYEE,3
declaration 122625,Declaration SUBMITTED by EMPLOYEE,3
declaration 116708,Declaration SUBMITTED by EMPLOYEE,3
declaration 109550,Declaration SUBMITTED by EMPLOYEE,3
declaration 117811,Declaration REJECTED by EMPLOYEE,3
declaration 111880,Declaration SUBMITTED by EMPLOYEE,3
declaration 116724,Declaration SUBMITTED by EMPLOYEE,3
declaration 113827,Declaration SUBMITTED by EMPLOYEE,3
declaration 126499,Declaration SUBMITTED by EMPLOYEE,3
declaration 119745,Declaration APPROVED by ADMINISTRATION,3
declaration 113840,Declaration SUBMITTED by EMPLOYEE,3
declaration 125001,Declaration SUBMITTED by EMPLOYEE,3
declaration 123898,Declaration SUBMITTED by EMPLOYEE,3
declaration 112150,Declaration SUBMITTED by EMPLOYEE,3
declaration 103172,Declaration SUBMITTED by EMPLOYEE,3
declaration 119745,Declaration SUBMITTED by EMPLOYEE,3
declaration 125760,Declaration SUBMITTED by EMPLOYEE,3
declaration 110070,Declaration SUBMITTED by EMPLOYEE,3
declaration 113934,Declaration SUBMITTED by EMPLOYEE,3
declaration 120659,Declaration SUBMITTED by EMPLOYEE,3
declaration 117958,Declaration SUBMITTED by EMPLOYEE,3
declaration 107073,Declaration SUBMITTED by EMPLOYEE,3
declaration 103429,Declaration SUBMITTED by EMPLOYEE,3
declaration 110191,Declaration SUBMITTED by EMPLOYEE,3
declaration 112307,Declaration SUBMITTED by EMPLOYEE,3
declaration 103462,Declaration SUBMITTED by EMPLOYEE,3
declaration 125183,Declaration SUBMITTED by EMPLOYEE,3
declaration 115732,Declaration SUBMITTED by EMPLOYEE,3
declaration 114249,Declaration SUBMITTED by EMPLOYEE,3
declaration 103537,Declaration SUBMITTED by EMPLOYEE,3
declaration 107364,Declaration APPROVED by ADMINISTRATION,3
declaration 117982,Declaration SUBMITTED by EMPLOYEE,3
declaration 112485,Declaration SUBMITTED by EMPLOYEE,3
declaration 107364,Declaration SUBMITTED by EMPLOYEE,3
declaration 103881,Declaration SUBMITTED by EMPLOYEE,3
declaration 127808,Declaration REJECTED by ADMINISTRATION,3
declaration 127808,Declaration REJECTED by EMPLOYEE,3
declaration 123921,Declaration SUBMITTED by EMPLOYEE,3
declaration 128214,Declaration SUBMITTED by EMPLOYEE,3
declaration 128285,Declaration SUBMITTED by EMPLOYEE,3
declaration 128317,Declaration SUBMITTED by EMPLOYEE,3
declaration 128329,Declaration SUBMITTED by EMPLOYEE,3
declaration 129484,Declaration SUBMITTED by EMPLOYEE,3
declaration 129622,Declaration REJECTED by ADMINISTRATION,3
declaration 129622,Declaration SUBMITTED by EMPLOYEE,3
declaration 129996,Declaration SUBMITTED by EMPLOYEE,3
declaration 133039,Declaration SUBMITTED by EMPLOYEE,3
declaration 133372,Declaration SUBMITTED by EMPLOYEE,3
declaration 133866,Declaration SUBMITTED by EMPLOYEE,3
declaration 133882,Declaration SUBMITTED by EMPLOYEE,3
declaration 134394,Declaration SUBMITTED by EMPLOYEE,3
declaration 134835,Declaration SUBMITTED by EMPLOYEE,3
declaration 135287,Declaration SUBMITTED by EMPLOYEE,3
declaration 135985,Declaration SUBMITTED by EMPLOYEE,3
declaration 137336,Declaration REJECTED by EMPLOYEE,3
declaration 115750,Declaration SUBMITTED by EMPLOYEE,3
declaration 138029,Declaration SUBMITTED by EMPLOYEE,3
declaration 107452,Declaration SUBMITTED by EMPLOYEE,3
declaration 138089,Declaration SUBMITTED by EMPLOYEE,3
declaration 139353,Declaration SUBMITTED by EMPLOYEE,3
declaration 140149,Declaration SUBMITTED by EMPLOYEE,3
declaration 140441,Declaration SUBMITTED by EMPLOYEE,3
declaration 141910,Declaration SUBMITTED by EMPLOYEE,3
declaration 142121,Declaration SUBMITTED by EMPLOYEE,3
declaration 142449,Declaration APPROVED by ADMINISTRATION,3
declaration 142449,Declaration REJECTED by EMPLOYEE,3
declaration 112506,Declaration SUBMITTED by EMPLOYEE,3
declaration 142822,Declaration SUBMITTED by EMPLOYEE,3
declaration 86620,Declaration SUBMITTED by EMPLOYEE,3
declaration 86720,Declaration SUBMITTED by EMPLOYEE,3
declaration 86901,Declaration SUBMITTED by EMPLOYEE,3
declaration 87305,Declaration SUBMITTED by EMPLOYEE,3
declaration 88034,Declaration SUBMITTED by EMPLOYEE,3
declaration 88373,Declaration APPROVED by PRE_APPROVER,3
declaration 88373,Declaration FINAL_APPROVED by SUPERVISOR,3
declaration 88373,Declaration SUBMITTED by EMPLOYEE,3
declaration 138089,Declaration APPROVED by ADMINISTRATION,3
declaration 89112,Declaration SUBMITTED by EMPLOYEE,3
declaration 99574,Declaration SUBMITTED by EMPLOYEE,3
declaration 90008,Declaration REJECTED by MISSING,3
declaration 122877,Declaration SUBMITTED by EMPLOYEE,3
declaration 90029,Declaration SUBMITTED by EMPLOYEE,3
declaration 90258,Declaration SUBMITTED by EMPLOYEE,3
declaration 93592,Declaration SUBMITTED by EMPLOYEE,3
declaration 96111,Declaration SUBMITTED by EMPLOYEE,3
declaration 96379,Declaration SUBMITTED by EMPLOYEE,3
declaration 97103,Declaration SUBMITTED by EMPLOYEE,3
declaration 97202,Declaration SUBMITTED by EMPLOYEE,3
declaration 97637,Declaration SUBMITTED by EMPLOYEE,3
declaration 98073,Declaration SUBMITTED by EMPLOYEE,3
declaration 100245,Declaration SUBMITTED by EMPLOYEE,3
declaration 100399,Declaration APPROVED by ADMINISTRATION,3
declaration 100399,Declaration SUBMITTED by EMPLOYEE,3
declaration 99069,Declaration REJECTED by ADMINISTRATION,3
declaration 99069,Declaration REJECTED by EMPLOYEE,3
declaration 88473,Declaration SUBMITTED by EMPLOYEE,3
declaration 102802,Declaration SUBMITTED by EMPLOYEE,2
declaration 102841,Declaration SUBMITTED by EMPLOYEE,2
declaration 103056,Declaration SUBMITTED by EMPLOYEE,2
declaration 103159,Declaration SUBMITTED by EMPLOYEE,2
declaration 103172,Declaration APPROVED by ADMINISTRATION,2
declaration 103172,Declaration REJECTED by EMPLOYEE,2
declaration 103184,Declaration APPROVED by ADMINISTRATION,2
declaration 103184,Declaration SUBMITTED by EMPLOYEE,2
declaration 103262,Declaration SUBMITTED by EMPLOYEE,2
declaration 103317,Declaration SUBMITTED by EMPLOYEE,2
declaration 103421,Declaration SUBMITTED by EMPLOYEE,2
declaration 103429,Declaration REJECTED by ADMINISTRATION,2
declaration 103429,Declaration REJECTED by EMPLOYEE,2
declaration 103462,Declaration APPROVED by ADMINISTRATION,2
declaration 103462,Declaration REJECTED by EMPLOYEE,2
declaration 103514,Declaration SUBMITTED by EMPLOYEE,2
declaration 103537,Declaration REJECTED by ADMINISTRATION,2
declaration 103537,Declaration REJECTED by EMPLOYEE,2
declaration 103759,Declaration APPROVED by ADMINISTRATION,2
declaration 103759,Declaration SUBMITTED by EMPLOYEE,2
declaration 103881,Declaration REJECTED by ADMINISTRATION,2
declaration 103881,Declaration REJECTED by EMPLOYEE,2
declaration 103940,Declaration APPROVED by ADMINISTRATION,2
declaration 103940,Declaration SUBMITTED by EMPLOYEE,2
declaration 103996,Declaration APPROVED by ADMINISTRATION,2
declaration 103996,Declaration SUBMITTED by EMPLOYEE,2
declaration 104065,Declaration SUBMITTED by EMPLOYEE,2
declaration 104219,Declaration APPROVED by ADMINISTRATION,2
declaration 104219,Declaration SUBMITTED by EMPLOYEE,2
declaration 104233,Declaration APPROVED by ADMINISTRATION,2
declaration 104233,Declaration REJECTED by EMPLOYEE,2
declaration 104295,Declaration APPROVED by ADMINISTRATION,2
declaration 104295,Declaration SUBMITTED by EMPLOYEE,2
declaration 104316,Declaration APPROVED by ADMINISTRATION,2
declaration 104316,Declaration SUBMITTED by EMPLOYEE,2
declaration 104544,Declaration APPROVED by ADMINISTRATION,2
declaration 104544,Declaration REJECTED by EMPLOYEE,2
declaration 104790,Declaration SUBMITTED by EMPLOYEE,2
declaration 104947,Declaration APPROVED by ADMINISTRATION,2
declaration 104947,Declaration SUBMITTED by EMPLOYEE,2
declaration 105023,Declaration SUBMITTED by EMPLOYEE,2
declaration 105035,Declaration SUBMITTED by EMPLOYEE,2
declaration 105101,Declaration REJECTED by EMPLOYEE,2
declaration 105101,Declaration SUBMITTED by EMPLOYEE,2
declaration 105124,Declaration REJECTED by EMPLOYEE,2
declaration 105124,Declaration SUBMITTED by EMPLOYEE,2
declaration 105242,Declaration APPROVED by ADMINISTRATION,2
declaration 105242,Declaration APPROVED by BUDGET OWNER,2
declaration 105242,Declaration SUBMITTED by EMPLOYEE,2
declaration 105289,Declaration SUBMITTED by EMPLOYEE,2
declaration 105330,Declaration SUBMITTED by EMPLOYEE,2
declaration 105349,Declaration APPROVED by ADMINISTRATION,2
declaration 105349,Declaration SUBMITTED by EMPLOYEE,2
declaration 105416,Declaration APPROVED by ADMINISTRATION,2
declaration 105416,Declaration SUBMITTED by EMPLOYEE,2
declaration 105515,Declaration APPROVED by ADMINISTRATION,2
declaration 105515,Declaration SUBMITTED by EMPLOYEE,2
declaration 105536,Declaration APPROVED by ADMINISTRATION,2
declaration 105536,Declaration SUBMITTED by EMPLOYEE,2
declaration 105552,Declaration SUBMITTED by EMPLOYEE,2
declaration 105609,Declaration SUBMITTED by EMPLOYEE,2
declaration 105655,Declaration SUBMITTED by EMPLOYEE,2
declaration 105754,Declaration SUBMITTED by EMPLOYEE,2
declaration 105762,Declaration SUBMITTED by EMPLOYEE,2
declaration 105814,Declaration APPROVED by ADMINISTRATION,2
declaration 105814,Declaration SUBMITTED by EMPLOYEE,2
declaration 105852,Declaration REJECTED by ADMINISTRATION,2
declaration 105852,Declaration REJECTED by EMPLOYEE,2
declaration 105939,Declaration SUBMITTED by EMPLOYEE,2
declaration 105987,Declaration APPROVED by ADMINISTRATION,2
declaration 105987,Declaration SUBMITTED by EMPLOYEE,2
declaration 105996,Declaration APPROVED by ADMINISTRATION,2
declaration 105996,Declaration SUBMITTED by EMPLOYEE,2
declaration 106082,Declaration SUBMITTED by EMPLOYEE,2
declaration 106187,Declaration SUBMITTED by EMPLOYEE,2
declaration 106200,Declaration SUBMITTED by EMPLOYEE,2
declaration 106298,Declaration SUBMITTED by EMPLOYEE,2
declaration 106318,Declaration SUBMITTED by EMPLOYEE,2
declaration 106342,Declaration APPROVED by ADMINISTRATION,2
declaration 106342,Declaration APPROVED by BUDGET OWNER,2
declaration 106342,Declaration SUBMITTED by EMPLOYEE,2
declaration 106385,Declaration APPROVED by ADMINISTRATION,2
declaration 106385,Declaration SUBMITTED by EMPLOYEE,2
declaration 106406,Declaration SUBMITTED by EMPLOYEE,2
declaration 106436,Declaration SUBMITTED by EMPLOYEE,2
declaration 106560,Declaration APPROVED by ADMINISTRATION,2
declaration 106560,Declaration SUBMITTED by EMPLOYEE,2
declaration 106769,Declaration SUBMITTED by EMPLOYEE,2
declaration 106954,Declaration APPROVED by ADMINISTRATION,2
declaration 106954,Declaration SUBMITTED by EMPLOYEE,2
declaration 107073,Declaration REJECTED by ADMINISTRATION,2
declaration 107073,Declaration REJECTED by EMPLOYEE,2
declaration 107105,Declaration SUBMITTED by EMPLOYEE,2
declaration 107293,Declaration SUBMITTED by EMPLOYEE,2
declaration 107348,Declaration APPROVED by ADMINISTRATION,2
declaration 107348,Declaration REJECTED by EMPLOYEE,2
declaration 107348,Declaration SUBMITTED by EMPLOYEE,2
declaration 107364,Declaration REJECTED by EMPLOYEE,2
declaration 107364,Declaration REJECTED by SUPERVISOR,2
declaration 107452,Declaration REJECTED by ADMINISTRATION,2
declaration 107452,Declaration REJECTED by EMPLOYEE,2
declaration 107586,Declaration APPROVED by ADMINISTRATION,2
declaration 107586,Declaration SUBMITTED by EMPLOYEE,2
declaration 107607,Declaration SUBMITTED by EMPLOYEE,2
declaration 107636,Declaration APPROVED by ADMINISTRATION,2
declaration 107636,Declaration SUBMITTED by EMPLOYEE,2
declaration 107732,Declaration APPROVED by ADMINISTRATION,2
declaration 107732,Declaration SUBMITTED by EMPLOYEE,2
declaration 107805,Declaration APPROVED by ADMINISTRATION,2
declaration 107805,Declaration SUBMITTED by EMPLOYEE,2
declaration 107853,Declaration SUBMITTED by EMPLOYEE,2
declaration 107991,Declaration APPROVED by ADMINISTRATION,2
declaration 107991,Declaration APPROVED by BUDGET OWNER,2
declaration 107991,Declaration SUBMITTED by EMPLOYEE,2
declaration 108046,Declaration APPROVED by ADMINISTRATION,2
declaration 108046,Declaration SUBMITTED by EMPLOYEE,2
declaration 108140,Declaration SUBMITTED by EMPLOYEE,2
declaration 108210,Declaration REJECTED by EMPLOYEE,2
declaration 108346,Declaration APPROVED by ADMINISTRATION,2
declaration 108346,Declaration SUBMITTED by EMPLOYEE,2
declaration 108421,Declaration SUBMITTED by EMPLOYEE,2
declaration 108613,Declaration APPROVED by ADMINISTRATION,2
declaration 108613,Declaration SUBMITTED by EMPLOYEE,2
declaration 108703,Declaration APPROVED by ADMINISTRATION,2
declaration 108703,Declaration SUBMITTED by EMPLOYEE,2
declaration 108729,Declaration APPROVED by ADMINISTRATION,2
declaration 108729,Declaration SUBMITTED by EMPLOYEE,2
declaration 108754,Declaration REJECTED by ADMINISTRATION,2
declaration 108754,Declaration REJECTED by EMPLOYEE,2
declaration 108771,Declaration SUBMITTED by EMPLOYEE,2
declaration 108821,Declaration APPROVED by ADMINISTRATION,2
declaration 108821,Declaration REJECTED by EMPLOYEE,2
declaration 108821,Declaration REJECTED by SUPERVISOR,2
declaration 108821,Declaration SUBMITTED by EMPLOYEE,2
declaration 108877,Declaration SUBMITTED by EMPLOYEE,2
declaration 109079,Declaration FINAL_APPROVED by SUPERVISOR,2
declaration 109079,Declaration SUBMITTED by EMPLOYEE,2
declaration 109098,Declaration SUBMITTED by EMPLOYEE,2
declaration 109398,Declaration APPROVED by ADMINISTRATION,2
declaration 109398,Declaration SUBMITTED by EMPLOYEE,2
declaration 109528,Declaration REJECTED by ADMINISTRATION,2
declaration 109528,Declaration REJECTED by EMPLOYEE,2
declaration 109550,Declaration REJECTED by ADMINISTRATION,2
declaration 109550,Declaration REJECTED by EMPLOYEE,2
declaration 109561,Declaration SUBMITTED by EMPLOYEE,2
declaration 109569,Declaration REJECTED by ADMINISTRATION,2
declaration 109569,Declaration REJECTED by EMPLOYEE,2
declaration 109569,Declaration SUBMITTED by EMPLOYEE,2
declaration 109626,Declaration SUBMITTED by EMPLOYEE,2
declaration 109708,Declaration APPROVED by ADMINISTRATION,2
declaration 109708,Declaration SUBMITTED by EMPLOYEE,2
declaration 109851,Declaration SUBMITTED by EMPLOYEE,2
declaration 109942,Declaration APPROVED by ADMINISTRATION,2
declaration 109942,Declaration SUBMITTED by EMPLOYEE,2
declaration 110051,Declaration SUBMITTED by EMPLOYEE,2
declaration 110070,Declaration REJECTED by ADMINISTRATION,2
declaration 110070,Declaration REJECTED by EMPLOYEE,2
declaration 110107,Declaration SUBMITTED by EMPLOYEE,2
declaration 110120,Declaration SUBMITTED by EMPLOYEE,2
declaration 110191,Declaration FINAL_APPROVED by SUPERVISOR,2
declaration 110248,Declaration APPROVED by ADMINISTRATION,2
declaration 110248,Declaration SUBMITTED by EMPLOYEE,2
declaration 110358,Declaration REJECTED by EMPLOYEE,2
declaration 110358,Declaration SUBMITTED by EMPLOYEE,2
declaration 110558,Declaration SUBMITTED by EMPLOYEE,2
declaration 110566,Declaration APPROVED by ADMINISTRATION,2
declaration 110566,Declaration SUBMITTED by EMPLOYEE,2
declaration 110575,Declaration APPROVED by ADMINISTRATION,2
declaration 110575,Declaration SUBMITTED by EMPLOYEE,2
declaration 110600,Declaration APPROVED by ADMINISTRATION,2
declaration 110600,Declaration APPROVED by BUDGET OWNER,2
declaration 110600,Declaration SUBMITTED by EMPLOYEE,2
declaration 110714,Declaration SUBMITTED by EMPLOYEE,2
declaration 110750,Declaration APPROVED by ADMINISTRATION,2
declaration 110750,Declaration SUBMITTED by EMPLOYEE,2
declaration 110816,Declaration SUBMITTED by EMPLOYEE,2
declaration 110829,Declaration APPROVED by ADMINISTRATION,2
declaration 110829,Declaration SUBMITTED by EMPLOYEE,2
declaration 110843,Declaration SUBMITTED by EMPLOYEE,2
declaration 110997,Declaration SUBMITTED by EMPLOYEE,2
declaration 111042,Declaration SUBMITTED by EMPLOYEE,2
declaration 111147,Declaration SUBMITTED by EMPLOYEE,2
declaration 111177,Declaration APPROVED by ADMINISTRATION,2
declaration 111177,Declaration SUBMITTED by EMPLOYEE,2
declaration 111233,Declaration SUBMITTED by EMPLOYEE,2
declaration 111290,Declaration SUBMITTED by EMPLOYEE,2
declaration 111352,Declaration SUBMITTED by EMPLOYEE,2
declaration 111361,Declaration APPROVED by ADMINISTRATION,2
declaration 111361,Declaration REJECTED by EMPLOYEE,2
declaration 111384,Declaration SUBMITTED by EMPLOYEE,2
declaration 111392,Declaration SUBMITTED by EMPLOYEE,2
declaration 111426,Declaration APPROVED by ADMINISTRATION,2
declaration 111426,Declaration SUBMITTED by EMPLOYEE,2
declaration 111435,Declaration APPROVED by ADMINISTRATION,2
declaration 111435,Declaration SUBMITTED by EMPLOYEE,2
declaration 111449,Declaration SUBMITTED by EMPLOYEE,2
declaration 111517,Declaration SUBMITTED by EMPLOYEE,2
declaration 111599,Declaration SUBMITTED by EMPLOYEE,2
declaration 111652,Declaration SUBMITTED by EMPLOYEE,2
declaration 111700,Declaration SUBMITTED by EMPLOYEE,2
declaration 111708,Declaration REJECTED by ADMINISTRATION,2
declaration 111708,Declaration REJECTED by EMPLOYEE,2
declaration 111751,Declaration SUBMITTED by EMPLOYEE,2
declaration 111780,Declaration SUBMITTED by EMPLOYEE,2
declaration 111818,Declaration SUBMITTED by EMPLOYEE,2
declaration 111839,Declaration SUBMITTED by EMPLOYEE,2
declaration 111880,Declaration REJECTED by ADMINISTRATION,2
declaration 111880,Declaration REJECTED by EMPLOYEE,2
declaration 111991,Declaration SUBMITTED by EMPLOYEE,2
declaration 112038,Declaration SUBMITTED by EMPLOYEE,2
declaration 112046,Declaration SUBMITTED by EMPLOYEE,2
declaration 112097,Declaration SUBMITTED by EMPLOYEE,2
declaration 112122,Declaration SUBMITTED by EMPLOYEE,2
declaration 112150,Declaration APPROVED by ADMINISTRATION,2
declaration 112150,Declaration REJECTED by EMPLOYEE,2
declaration 112192,Declaration SUBMITTED by EMPLOYEE,2
declaration 112216,Declaration SUBMITTED by EMPLOYEE,2
declaration 112239,Declaration SUBMITTED by EMPLOYEE,2
declaration 112307,Declaration REJECTED by ADMINISTRATION,2
declaration 112307,Declaration REJECTED by EMPLOYEE,2
declaration 112360,Declaration SUBMITTED by EMPLOYEE,2
declaration 112438,Declaration SUBMITTED by EMPLOYEE,2
declaration 112485,Declaration REJECTED by ADMINISTRATION,2
declaration 112485,Declaration REJECTED by EMPLOYEE,2
declaration 112506,Declaration REJECTED by ADMINISTRATION,2
declaration 112506,Declaration REJECTED by EMPLOYEE,2
declaration 112576,Declaration SUBMITTED by EMPLOYEE,2
declaration 112585,Declaration SUBMITTED by EMPLOYEE,2
declaration 112638,Declaration SUBMITTED by EMPLOYEE,2
declaration 112817,Declaration SUBMITTED by EMPLOYEE,2
declaration 112958,Declaration APPROVED by ADMINISTRATION,2
declaration 112958,Declaration SUBMITTED by EMPLOYEE,2
declaration 112989,Declaration REJECTED by EMPLOYEE,2
declaration 112989,Declaration SUBMITTED by EMPLOYEE,2
declaration 113163,Declaration SUBMITTED by EMPLOYEE,2
declaration 113197,Declaration REJECTED by ADMINISTRATION,2
declaration 113197,Declaration REJECTED by EMPLOYEE,2
declaration 113231,Declaration SUBMITTED by EMPLOYEE,2
declaration 113264,Declaration SUBMITTED by EMPLOYEE,2
declaration 113295,Declaration SUBMITTED by EMPLOYEE,2
declaration 113369,Declaration SUBMITTED by EMPLOYEE,2
declaration 113412,Declaration SUBMITTED by EMPLOYEE,2
declaration 113449,Declaration SUBMITTED by EMPLOYEE,2
declaration 113462,Declaration APPROVED by ADMINISTRATION,2
declaration 113495,Declaration APPROVED by ADMINISTRATION,2
declaration 113495,Declaration SUBMITTED by EMPLOYEE,2
declaration 113513,Declaration SUBMITTED by EMPLOYEE,2
declaration 113528,Declaration REJECTED by ADMINISTRATION,2
declaration 113528,Declaration REJECTED by EMPLOYEE,2
declaration 113613,Declaration SUBMITTED by EMPLOYEE,2
declaration 113628,Declaration SUBMITTED by EMPLOYEE,2
declaration 113793,Declaration SUBMITTED by EMPLOYEE,2
declaration 113812,Declaration APPROVED by ADMINISTRATION,2
declaration 113812,Declaration SUBMITTED by EMPLOYEE,2
declaration 113827,Declaration APPROVED by ADMINISTRATION,2
declaration 113827,Declaration REJECTED by EMPLOYEE,2
declaration 113840,Declaration APPROVED by ADMINISTRATION,2
declaration 113840,Declaration REJECTED by EMPLOYEE,2
declaration 113877,Declaration SUBMITTED by EMPLOYEE,2
declaration 113885,Declaration SUBMITTED by EMPLOYEE,2
declaration 113934,Declaration REJECTED by ADMINISTRATION,2
declaration 113934,Declaration REJECTED by EMPLOYEE,2
declaration 113980,Declaration SUBMITTED by EMPLOYEE,2
declaration 114195,Declaration SUBMITTED by EMPLOYEE,2
declaration 114249,Declaration REJECTED by ADMINISTRATION,2
declaration 114249,Declaration REJECTED by EMPLOYEE,2
declaration 114261,Declaration SUBMITTED by EMPLOYEE,2
declaration 114274,Declaration REJECTED by EMPLOYEE,2
declaration 114274,Declaration SUBMITTED by EMPLOYEE,2
declaration 114348,Declaration SUBMITTED by EMPLOYEE,2
declaration 114367,Declaration SUBMITTED by EMPLOYEE,2
declaration 114490,Declaration SUBMITTED by EMPLOYEE,2
declaration 114498,Declaration SUBMITTED by EMPLOYEE,2
declaration 114558,Declaration SUBMITTED by EMPLOYEE,2
declaration 114566,Declaration SUBMITTED by EMPLOYEE,2
declaration 114602,Declaration SUBMITTED by EMPLOYEE,2
declaration 114669,Declaration APPROVED by ADMINISTRATION,2
declaration 114669,Declaration SUBMITTED by EMPLOYEE,2
declaration 114731,Declaration SUBMITTED by EMPLOYEE,2
declaration 114761,Declaration SUBMITTED by EMPLOYEE,2
declaration 114842,Declaration REJECTED by ADMINISTRATION,2
declaration 114842,Declaration REJECTED by EMPLOYEE,2
declaration 114863,Declaration SUBMITTED by EMPLOYEE,2
declaration 114912,Declaration SUBMITTED by EMPLOYEE,2
declaration 114926,Declaration SUBMITTED by EMPLOYEE,2
declaration 114935,Declaration SUBMITTED by EMPLOYEE,2
declaration 114994,Declaration SUBMITTED by EMPLOYEE,2
declaration 115108,Declaration SUBMITTED by EMPLOYEE,2
declaration 115179,Declaration SUBMITTED by EMPLOYEE,2
declaration 115244,Declaration SUBMITTED by EMPLOYEE,2
declaration 115387,Declaration SUBMITTED by EMPLOYEE,2
declaration 115456,Declaration APPROVED by ADMINISTRATION,2
declaration 115456,Declaration SUBMITTED by EMPLOYEE,2
declaration 115466,Declaration APPROVED by ADMINISTRATION,2
declaration 115466,Declaration SUBMITTED by EMPLOYEE,2
declaration 115483,Declaration SUBMITTED by EMPLOYEE,2
declaration 115491,Declaration SUBMITTED by EMPLOYEE,2
declaration 115499,Declaration SUBMITTED by EMPLOYEE,2
declaration 115517,Declaration APPROVED by ADMINISTRATION,2
declaration 115517,Declaration SUBMITTED by EMPLOYEE,2
declaration 115531,Declaration APPROVED by ADMINISTRATION,2
declaration 115531,Declaration SUBMITTED by EMPLOYEE,2
declaration 115540,Declaration APPROVED by ADMINISTRATION,2
declaration 115540,Declaration SUBMITTED by EMPLOYEE,2
declaration 115608,Declaration SUBMITTED by EMPLOYEE,2
declaration 115732,Declaration REJECTED by ADMINISTRATION,2
declaration 115732,Declaration REJECTED by EMPLOYEE,2
declaration 115750,Declaration REJECTED by ADMINISTRATION,2
declaration 115750,Declaration REJECTED by EMPLOYEE,2
declaration 115810,Declaration SUBMITTED by EMPLOYEE,2
declaration 115851,Declaration SUBMITTED by EMPLOYEE,2
declaration 115869,Declaration SUBMITTED by EMPLOYEE,2
declaration 115924,Declaration REJECTED by ADMINISTRATION,2
declaration 115924,Declaration REJECTED by EMPLOYEE,2
declaration 115941,Declaration SUBMITTED by EMPLOYEE,2
