case:concept:name,Activities_Repeated,Total_Extra_Steps
declaration 20053,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,7
declaration 145437,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 57080,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 20507,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 1446,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,7
declaration 49141,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,7
declaration 56837,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 56215,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 9482,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 64844,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 53567,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration SUBMITTED by EMPLOYEE | Permit REJECTED by ADMINISTRATION | Permit REJECTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,7
declaration 23578,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 10797,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 63557,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 51709,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 45441,Declaration APPROVED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit REJECTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,7
declaration 147452,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,7
declaration 62087,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,6
declaration 12830,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,6
declaration 39736,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,6
declaration 17706,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,6
declaration 29482,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit SUBMITTED by EMPLOYEE,6
declaration 18618,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit REJECTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,6
declaration 63785,Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit APPROVED by SUPERVISOR | Permit REJECTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,6
declaration 15189,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,6
declaration 75028,Declaration APPROVED by PRE_APPROVER | Declaration APPROVED by SUPERVISOR | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,6
declaration 65388,Declaration APPROVED by ADMINISTRATION | Declaration APPROVED by BUDGET OWNER | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,6
declaration 45035,Permit APPROVED by ADMINISTRATION | Permit REJECTED by BUDGET OWNER | Permit REJECTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,6
declaration 2465,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,6
declaration 27582,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE | Send Reminder,5
declaration 85592,Declaration FINAL_APPROVED by SUPERVISOR | Declaration REJECTED by MISSING | Declaration SUBMITTED by EMPLOYEE,5
declaration 84067,Permit FINAL_APPROVED by SUPERVISOR | Permit REJECTED by MISSING | Permit SUBMITTED by EMPLOYEE,5
declaration 83747,Declaration APPROVED by PRE_APPROVER | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,5
declaration 83197,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,5
declaration 143644,Declaration FINAL_APPROVED by SUPERVISOR | Declaration REJECTED by MISSING | Declaration SUBMITTED by EMPLOYEE,5
declaration 45743,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,5
declaration 19108,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit REJECTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,5
declaration 19086,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit REJECTED by EMPLOYEE | Permit SUBMITTED by EMPLOYEE,5
declaration 74038,Declaration APPROVED by SUPERVISOR | Declaration FINAL_APPROVED by DIRECTOR | Declaration SUBMITTED by EMPLOYEE,5
declaration 25532,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,5
declaration 81449,Declaration FINAL_APPROVED by SUPERVISOR | Declaration REJECTED by MISSING | Declaration SUBMITTED by EMPLOYEE,5
declaration 70264,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 70246,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 69672,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 69414,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 69361,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 6884,Declaration REJECTED by ADMINISTRATION | Declaration SUBMITTED by EMPLOYEE,4
declaration 68805,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 68589,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 14048,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 68116,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 68048,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 67928,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 6774,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 67686,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 67499,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 6733,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 67085,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 66217,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 65572,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 65420,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 144523,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,4
declaration 143585,Declaration REJECTED by EMPLOYEE | Declaration REJECTED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,4
declaration 65171,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 65083,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 64236,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 63429,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 62265,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 62122,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 61392,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 61004,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 60767,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 6057,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 60426,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 59899,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 59353,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 5855,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 58278,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 58218,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 58099,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 57979,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 57515,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 14610,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 145828,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 14582,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 57024,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 56197,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 55836,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 55214,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 54789,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 54548,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 53503,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 53252,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 52803,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 52580,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 14684,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 51836,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 51178,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 50400,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 50234,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 49011,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 4831,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 46889,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 46466,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 46291,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 46273,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 46170,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 46127,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 46044,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 147340,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 147274,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 147250,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 147039,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 45768,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 10522,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 45712,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 1137,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 45355,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 45310,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 11114,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 44774,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 44585,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 15232,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 11025,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 14881,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 84898,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,4
declaration 84180,Declaration APPROVED by PRE_APPROVER | Declaration FINAL_APPROVED by SUPERVISOR | Declaration SUBMITTED by EMPLOYEE,4
declaration 44436,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 44359,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 43989,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 23007,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 43160,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 43091,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 42977,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 42498,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 42271,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 41772,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 41628,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 41569,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 41412,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 15856,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 1574,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 15548,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 15287,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 22971,Declaration SUBMITTED by EMPLOYEE | Permit APPROVED by ADMINISTRATION | Permit APPROVED by BUDGET OWNER | Permit SUBMITTED by EMPLOYEE,4
declaration 40345,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 40323,Declaration APPROVED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 40203,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
declaration 40162,Declaration REJECTED by ADMINISTRATION | Declaration REJECTED by EMPLOYEE | Declaration SUBMITTED by EMPLOYEE,4
