id,org:resource,concept:name,time:timestamp,org:role,case:Permit travel permit number,case:DeclarationNumber,case:Amount,case:RequestedAmount,case:Permit TaskNumber,case:Permit BudgetNumber,case:OriginalAmount,case:Permit ProjectNumber,case:concept:name,case:Permit OrganizationalEntity,case:travel permit number,case:Permit RequestedBudget,case:id,case:Permit ID,case:Permit id,case:BudgetNumber,case:Permit ActivityNumber,case:AdjustedAmount
st_step 10050_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-02-20 13:53:11+00:00,EMPLOYEE,travel permit number 10041,declaration number 10047,525.3612227963778,525.3612227963778,task 427,budget 1136,525.3612227963778,project 10042,declaration 10046,organizational unit 65466,travel permit number 10041,2531.5127363947604,declaration 10046,travel permit 10040,travel permit 10040,budget 145389,UNKNOWN,525.3612227963778
st_step 10049_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-02-20 13:53:14+00:00,ADMINISTRATION,travel permit number 10041,declaration number 10047,525.3612227963778,525.3612227963778,task 427,budget 1136,525.3612227963778,project 10042,declaration 10046,organizational unit 65466,travel permit number 10041,2531.5127363947604,declaration 10046,travel permit 10040,travel permit 10040,budget 145389,UNKNOWN,525.3612227963778
st_step 10048_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-02-20 16:28:52+00:00,SUPERVISOR,travel permit number 10041,declaration number 10047,525.3612227963778,525.3612227963778,task 427,budget 1136,525.3612227963778,project 10042,declaration 10046,organizational unit 65466,travel permit number 10041,2531.5127363947604,declaration 10046,travel permit 10040,travel permit 10040,budget 145389,UNKNOWN,525.3612227963778
rv_travel permit 10040_6,STAFF MEMBER,Start trip,2018-04-20 00:00:00+00:00,EMPLOYEE,travel permit number 10041,declaration number 10047,525.3612227963778,525.3612227963778,task 427,budget 1136,525.3612227963778,project 10042,declaration 10046,organizational unit 65466,travel permit number 10041,2531.5127363947604,declaration 10046,travel permit 10040,travel permit 10040,budget 145389,UNKNOWN,525.3612227963778
rv_travel permit 10040_7,STAFF MEMBER,End trip,2018-04-27 00:00:00+00:00,EMPLOYEE,travel permit number 10041,declaration number 10047,525.3612227963778,525.3612227963778,task 427,budget 1136,525.3612227963778,project 10042,declaration 10046,organizational unit 65466,travel permit number 10041,2531.5127363947604,declaration 10046,travel permit 10040,travel permit 10040,budget 145389,UNKNOWN,525.3612227963778
st_step 10058_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-05-15 11:26:54+00:00,EMPLOYEE,travel permit number 10041,declaration number 10047,525.3612227963778,525.3612227963778,task 427,budget 1136,525.3612227963778,project 10042,declaration 10046,organizational unit 65466,travel permit number 10041,2531.5127363947604,declaration 10046,travel permit 10040,travel permit 10040,budget 145389,UNKNOWN,525.3612227963778
st_step 10057_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-05-15 11:27:41+00:00,ADMINISTRATION,travel permit number 10041,declaration number 10047,525.3612227963778,525.3612227963778,task 427,budget 1136,525.3612227963778,project 10042,declaration 10046,organizational unit 65466,travel permit number 10041,2531.5127363947604,declaration 10046,travel permit 10040,travel permit 10040,budget 145389,UNKNOWN,525.3612227963778
st_step 10059_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-05-15 13:37:54+00:00,SUPERVISOR,travel permit number 10041,declaration number 10047,525.3612227963778,525.3612227963778,task 427,budget 1136,525.3612227963778,project 10042,declaration 10046,organizational unit 65466,travel permit number 10041,2531.5127363947604,declaration 10046,travel permit 10040,travel permit 10040,budget 145389,UNKNOWN,525.3612227963778
fd_declaration 10046_17,SYSTEM,Request Payment,2018-05-16 11:49:16+00:00,UNDEFINED,travel permit number 10041,declaration number 10047,525.3612227963778,525.3612227963778,task 427,budget 1136,525.3612227963778,project 10042,declaration 10046,organizational unit 65466,travel permit number 10041,2531.5127363947604,declaration 10046,travel permit 10040,travel permit 10040,budget 145389,UNKNOWN,525.3612227963778
fd_declaration 10046_18,SYSTEM,Payment Handled,2018-05-17 17:31:34+00:00,UNDEFINED,travel permit number 10041,declaration number 10047,525.3612227963778,525.3612227963778,task 427,budget 1136,525.3612227963778,project 10042,declaration 10046,organizational unit 65466,travel permit number 10041,2531.5127363947604,declaration 10046,travel permit 10040,travel permit 10040,budget 145389,UNKNOWN,525.3612227963778
st_step 10083_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-02-22 12:53:59+00:00,EMPLOYEE,travel permit number 10078,declaration number 10080,658.5051306535076,658.5051306535076,UNKNOWN,budget 3751,658.5051306535076,UNKNOWN,declaration 10079,organizational unit 65455,travel permit number 10078,1108.5784849413924,declaration 10079,travel permit 10077,travel permit 10077,budget 146688,UNKNOWN,658.5051306535076
st_step 10081_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-02-22 12:54:02+00:00,ADMINISTRATION,travel permit number 10078,declaration number 10080,658.5051306535076,658.5051306535076,UNKNOWN,budget 3751,658.5051306535076,UNKNOWN,declaration 10079,organizational unit 65455,travel permit number 10078,1108.5784849413924,declaration 10079,travel permit 10077,travel permit 10077,budget 146688,UNKNOWN,658.5051306535076
st_step 10082_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-03-05 08:12:13+00:00,SUPERVISOR,travel permit number 10078,declaration number 10080,658.5051306535076,658.5051306535076,UNKNOWN,budget 3751,658.5051306535076,UNKNOWN,declaration 10079,organizational unit 65455,travel permit number 10078,1108.5784849413924,declaration 10079,travel permit 10077,travel permit 10077,budget 146688,UNKNOWN,658.5051306535076
rv_travel permit 10077_6,STAFF MEMBER,Start trip,2018-06-30 00:00:00+00:00,EMPLOYEE,travel permit number 10078,declaration number 10080,658.5051306535076,658.5051306535076,UNKNOWN,budget 3751,658.5051306535076,UNKNOWN,declaration 10079,organizational unit 65455,travel permit number 10078,1108.5784849413924,declaration 10079,travel permit 10077,travel permit 10077,budget 146688,UNKNOWN,658.5051306535076
rv_travel permit 10077_7,STAFF MEMBER,End trip,2018-07-14 00:00:00+00:00,EMPLOYEE,travel permit number 10078,declaration number 10080,658.5051306535076,658.5051306535076,UNKNOWN,budget 3751,658.5051306535076,UNKNOWN,declaration 10079,organizational unit 65455,travel permit number 10078,1108.5784849413924,declaration 10079,travel permit 10077,travel permit 10077,budget 146688,UNKNOWN,658.5051306535076
st_step 10084_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-07-17 12:05:54+00:00,EMPLOYEE,travel permit number 10078,declaration number 10080,658.5051306535076,658.5051306535076,UNKNOWN,budget 3751,658.5051306535076,UNKNOWN,declaration 10079,organizational unit 65455,travel permit number 10078,1108.5784849413924,declaration 10079,travel permit 10077,travel permit 10077,budget 146688,UNKNOWN,658.5051306535076
st_step 10085_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-07-17 12:23:01+00:00,ADMINISTRATION,travel permit number 10078,declaration number 10080,658.5051306535076,658.5051306535076,UNKNOWN,budget 3751,658.5051306535076,UNKNOWN,declaration 10079,organizational unit 65455,travel permit number 10078,1108.5784849413924,declaration 10079,travel permit 10077,travel permit 10077,budget 146688,UNKNOWN,658.5051306535076
st_step 10086_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-07-17 13:08:45+00:00,SUPERVISOR,travel permit number 10078,declaration number 10080,658.5051306535076,658.5051306535076,UNKNOWN,budget 3751,658.5051306535076,UNKNOWN,declaration 10079,organizational unit 65455,travel permit number 10078,1108.5784849413924,declaration 10079,travel permit 10077,travel permit 10077,budget 146688,UNKNOWN,658.5051306535076
fd_declaration 10079_17,SYSTEM,Request Payment,2018-07-17 16:34:07+00:00,UNDEFINED,travel permit number 10078,declaration number 10080,658.5051306535076,658.5051306535076,UNKNOWN,budget 3751,658.5051306535076,UNKNOWN,declaration 10079,organizational unit 65455,travel permit number 10078,1108.5784849413924,declaration 10079,travel permit 10077,travel permit 10077,budget 146688,UNKNOWN,658.5051306535076
fd_declaration 10079_18,SYSTEM,Payment Handled,2018-07-19 17:32:03+00:00,UNDEFINED,travel permit number 10078,declaration number 10080,658.5051306535076,658.5051306535076,UNKNOWN,budget 3751,658.5051306535076,UNKNOWN,declaration 10079,organizational unit 65455,travel permit number 10078,1108.5784849413924,declaration 10079,travel permit 10077,travel permit 10077,budget 146688,UNKNOWN,658.5051306535076
st_step 10132_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-02-23 22:47:29+00:00,EMPLOYEE,travel permit number 10126,declaration number 10129,570.5246122796364,570.5246122796364,task 427,budget 1755,570.5246122796364,project 10127,declaration 10128,organizational unit 65454,travel permit number 10126,299.32874502847767,declaration 10128,travel permit 10125,travel permit 10125,budget 146893,UNKNOWN,570.5246122796364
st_step 10131_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-02-23 22:47:33+00:00,ADMINISTRATION,travel permit number 10126,declaration number 10129,570.5246122796364,570.5246122796364,task 427,budget 1755,570.5246122796364,project 10127,declaration 10128,organizational unit 65454,travel permit number 10126,299.32874502847767,declaration 10128,travel permit 10125,travel permit 10125,budget 146893,UNKNOWN,570.5246122796364
st_step 10130_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-02-26 09:50:26+00:00,SUPERVISOR,travel permit number 10126,declaration number 10129,570.5246122796364,570.5246122796364,task 427,budget 1755,570.5246122796364,project 10127,declaration 10128,organizational unit 65454,travel permit number 10126,299.32874502847767,declaration 10128,travel permit 10125,travel permit 10125,budget 146893,UNKNOWN,570.5246122796364
rv_travel permit 10125_6,STAFF MEMBER,Start trip,2018-03-14 00:00:00+00:00,EMPLOYEE,travel permit number 10126,declaration number 10129,570.5246122796364,570.5246122796364,task 427,budget 1755,570.5246122796364,project 10127,declaration 10128,organizational unit 65454,travel permit number 10126,299.32874502847767,declaration 10128,travel permit 10125,travel permit 10125,budget 146893,UNKNOWN,570.5246122796364
rv_travel permit 10125_7,STAFF MEMBER,End trip,2018-03-15 00:00:00+00:00,EMPLOYEE,travel permit number 10126,declaration number 10129,570.5246122796364,570.5246122796364,task 427,budget 1755,570.5246122796364,project 10127,declaration 10128,organizational unit 65454,travel permit number 10126,299.32874502847767,declaration 10128,travel permit 10125,travel permit 10125,budget 146893,UNKNOWN,570.5246122796364
st_step 10135_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-04-07 20:56:55+00:00,EMPLOYEE,travel permit number 10126,declaration number 10129,570.5246122796364,570.5246122796364,task 427,budget 1755,570.5246122796364,project 10127,declaration 10128,organizational unit 65454,travel permit number 10126,299.32874502847767,declaration 10128,travel permit 10125,travel permit 10125,budget 146893,UNKNOWN,570.5246122796364
st_step 10134_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-04-07 21:00:30+00:00,ADMINISTRATION,travel permit number 10126,declaration number 10129,570.5246122796364,570.5246122796364,task 427,budget 1755,570.5246122796364,project 10127,declaration 10128,organizational unit 65454,travel permit number 10126,299.32874502847767,declaration 10128,travel permit 10125,travel permit 10125,budget 146893,UNKNOWN,570.5246122796364
st_step 10133_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-04-09 12:13:32+00:00,SUPERVISOR,travel permit number 10126,declaration number 10129,570.5246122796364,570.5246122796364,task 427,budget 1755,570.5246122796364,project 10127,declaration 10128,organizational unit 65454,travel permit number 10126,299.32874502847767,declaration 10128,travel permit 10125,travel permit 10125,budget 146893,UNKNOWN,570.5246122796364
fd_declaration 10128_17,SYSTEM,Request Payment,2018-04-09 17:34:55+00:00,UNDEFINED,travel permit number 10126,declaration number 10129,570.5246122796364,570.5246122796364,task 427,budget 1755,570.5246122796364,project 10127,declaration 10128,organizational unit 65454,travel permit number 10126,299.32874502847767,declaration 10128,travel permit 10125,travel permit 10125,budget 146893,UNKNOWN,570.5246122796364
fd_declaration 10128_18,SYSTEM,Payment Handled,2018-04-12 17:31:11+00:00,UNDEFINED,travel permit number 10126,declaration number 10129,570.5246122796364,570.5246122796364,task 427,budget 1755,570.5246122796364,project 10127,declaration 10128,organizational unit 65454,travel permit number 10126,299.32874502847767,declaration 10128,travel permit 10125,travel permit 10125,budget 146893,UNKNOWN,570.5246122796364
st_step 10211_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-09-05 07:43:00+00:00,EMPLOYEE,travel permit number 10206,declaration number 10208,104.14170988112654,104.14170988112654,UNKNOWN,budget 864,104.14170988112654,UNKNOWN,declaration 10207,organizational unit 65454,travel permit number 10206,104.16136302642441,declaration 10207,travel permit 10205,travel permit 10205,budget 146844,UNKNOWN,104.14170988112654
st_step 10210_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-09-05 07:43:06+00:00,ADMINISTRATION,travel permit number 10206,declaration number 10208,104.14170988112654,104.14170988112654,UNKNOWN,budget 864,104.14170988112654,UNKNOWN,declaration 10207,organizational unit 65454,travel permit number 10206,104.16136302642441,declaration 10207,travel permit 10205,travel permit 10205,budget 146844,UNKNOWN,104.14170988112654
st_step 10209_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-09-05 08:56:02+00:00,SUPERVISOR,travel permit number 10206,declaration number 10208,104.14170988112654,104.14170988112654,UNKNOWN,budget 864,104.14170988112654,UNKNOWN,declaration 10207,organizational unit 65454,travel permit number 10206,104.16136302642441,declaration 10207,travel permit 10205,travel permit 10205,budget 146844,UNKNOWN,104.14170988112654
rv_travel permit 10205_6,STAFF MEMBER,Start trip,2018-09-07 00:00:00+00:00,EMPLOYEE,travel permit number 10206,declaration number 10208,104.14170988112654,104.14170988112654,UNKNOWN,budget 864,104.14170988112654,UNKNOWN,declaration 10207,organizational unit 65454,travel permit number 10206,104.16136302642441,declaration 10207,travel permit 10205,travel permit 10205,budget 146844,UNKNOWN,104.14170988112654
rv_travel permit 10205_7,STAFF MEMBER,End trip,2018-09-08 00:00:00+00:00,EMPLOYEE,travel permit number 10206,declaration number 10208,104.14170988112654,104.14170988112654,UNKNOWN,budget 864,104.14170988112654,UNKNOWN,declaration 10207,organizational unit 65454,travel permit number 10206,104.16136302642441,declaration 10207,travel permit 10205,travel permit 10205,budget 146844,UNKNOWN,104.14170988112654
st_step 10212_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-09-27 14:55:22+00:00,EMPLOYEE,travel permit number 10206,declaration number 10208,104.14170988112654,104.14170988112654,UNKNOWN,budget 864,104.14170988112654,UNKNOWN,declaration 10207,organizational unit 65454,travel permit number 10206,104.16136302642441,declaration 10207,travel permit 10205,travel permit 10205,budget 146844,UNKNOWN,104.14170988112654
st_step 10213_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-09-27 16:52:07+00:00,ADMINISTRATION,travel permit number 10206,declaration number 10208,104.14170988112654,104.14170988112654,UNKNOWN,budget 864,104.14170988112654,UNKNOWN,declaration 10207,organizational unit 65454,travel permit number 10206,104.16136302642441,declaration 10207,travel permit 10205,travel permit 10205,budget 146844,UNKNOWN,104.14170988112654
st_step 10214_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-10-02 09:53:01+00:00,SUPERVISOR,travel permit number 10206,declaration number 10208,104.14170988112654,104.14170988112654,UNKNOWN,budget 864,104.14170988112654,UNKNOWN,declaration 10207,organizational unit 65454,travel permit number 10206,104.16136302642441,declaration 10207,travel permit 10205,travel permit 10205,budget 146844,UNKNOWN,104.14170988112654
fd_declaration 10207_17,SYSTEM,Request Payment,2018-10-02 12:39:43+00:00,UNDEFINED,travel permit number 10206,declaration number 10208,104.14170988112654,104.14170988112654,UNKNOWN,budget 864,104.14170988112654,UNKNOWN,declaration 10207,organizational unit 65454,travel permit number 10206,104.16136302642441,declaration 10207,travel permit 10205,travel permit 10205,budget 146844,UNKNOWN,104.14170988112654
fd_declaration 10207_18,SYSTEM,Payment Handled,2018-10-04 17:31:16+00:00,UNDEFINED,travel permit number 10206,declaration number 10208,104.14170988112654,104.14170988112654,UNKNOWN,budget 864,104.14170988112654,UNKNOWN,declaration 10207,organizational unit 65454,travel permit number 10206,104.16136302642441,declaration 10207,travel permit 10205,travel permit 10205,budget 146844,UNKNOWN,104.14170988112654
st_step 10244_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-09-05 12:58:48+00:00,EMPLOYEE,travel permit number 10228,declaration number 10239,24.018134590620626,24.018134590620626,task 427,budget 10229,24.018134590620626,project 10230,declaration 10238,organizational unit 65460,travel permit number 10228,1262.4426619067171,declaration 10238,travel permit 10227,travel permit 10227,budget 147421,UNKNOWN,24.018134590620626
st_step 10243_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-09-05 12:58:51+00:00,ADMINISTRATION,travel permit number 10228,declaration number 10239,24.018134590620626,24.018134590620626,task 427,budget 10229,24.018134590620626,project 10230,declaration 10238,organizational unit 65460,travel permit number 10228,1262.4426619067171,declaration 10238,travel permit 10227,travel permit 10227,budget 147421,UNKNOWN,24.018134590620626
st_step 10242_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-09-06 08:29:40+00:00,SUPERVISOR,travel permit number 10228,declaration number 10239,24.018134590620626,24.018134590620626,task 427,budget 10229,24.018134590620626,project 10230,declaration 10238,organizational unit 65460,travel permit number 10228,1262.4426619067171,declaration 10238,travel permit 10227,travel permit 10227,budget 147421,UNKNOWN,24.018134590620626
rv_travel permit 10227_6,STAFF MEMBER,Start trip,2018-10-28 00:00:00+00:00,EMPLOYEE,travel permit number 10228,declaration number 10239,24.018134590620626,24.018134590620626,task 427,budget 10229,24.018134590620626,project 10230,declaration 10238,organizational unit 65460,travel permit number 10228,1262.4426619067171,declaration 10238,travel permit 10227,travel permit 10227,budget 147421,UNKNOWN,24.018134590620626
rv_travel permit 10227_7,STAFF MEMBER,End trip,2018-10-31 00:00:00+00:00,EMPLOYEE,travel permit number 10228,declaration number 10239,24.018134590620626,24.018134590620626,task 427,budget 10229,24.018134590620626,project 10230,declaration 10238,organizational unit 65460,travel permit number 10228,1262.4426619067171,declaration 10238,travel permit 10227,travel permit 10227,budget 147421,UNKNOWN,24.018134590620626
st_step 10255_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-11-05 11:02:50+00:00,EMPLOYEE,travel permit number 10228,declaration number 10239,24.018134590620626,24.018134590620626,task 427,budget 10229,24.018134590620626,project 10230,declaration 10238,organizational unit 65460,travel permit number 10228,1262.4426619067171,declaration 10238,travel permit 10227,travel permit 10227,budget 147421,UNKNOWN,24.018134590620626
st_step 10254_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-11-05 11:02:52+00:00,ADMINISTRATION,travel permit number 10228,declaration number 10239,24.018134590620626,24.018134590620626,task 427,budget 10229,24.018134590620626,project 10230,declaration 10238,organizational unit 65460,travel permit number 10228,1262.4426619067171,declaration 10238,travel permit 10227,travel permit 10227,budget 147421,UNKNOWN,24.018134590620626
st_step 10256_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-11-13 08:33:49+00:00,SUPERVISOR,travel permit number 10228,declaration number 10239,24.018134590620626,24.018134590620626,task 427,budget 10229,24.018134590620626,project 10230,declaration 10238,organizational unit 65460,travel permit number 10228,1262.4426619067171,declaration 10238,travel permit 10227,travel permit 10227,budget 147421,UNKNOWN,24.018134590620626
fd_declaration 10238_17,SYSTEM,Request Payment,2018-11-20 08:26:14+00:00,UNDEFINED,travel permit number 10228,declaration number 10239,24.018134590620626,24.018134590620626,task 427,budget 10229,24.018134590620626,project 10230,declaration 10238,organizational unit 65460,travel permit number 10228,1262.4426619067171,declaration 10238,travel permit 10227,travel permit 10227,budget 147421,UNKNOWN,24.018134590620626
fd_declaration 10238_18,SYSTEM,Payment Handled,2018-11-22 17:31:33+00:00,UNDEFINED,travel permit number 10228,declaration number 10239,24.018134590620626,24.018134590620626,task 427,budget 10229,24.018134590620626,project 10230,declaration 10238,organizational unit 65460,travel permit number 10228,1262.4426619067171,declaration 10238,travel permit 10227,travel permit 10227,budget 147421,UNKNOWN,24.018134590620626
st_step 1033_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-03-01 14:50:22+00:00,EMPLOYEE,travel permit number 1026,declaration number 1030,253.3214295091041,253.3214295091041,task 427,budget 1027,253.3214295091041,project 1028,declaration 1029,organizational unit 65454,travel permit number 1026,464.4944018304138,declaration 1029,travel permit 1025,travel permit 1025,budget 146727,UNKNOWN,253.3214295091041
st_step 1031_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-03-01 14:50:28+00:00,ADMINISTRATION,travel permit number 1026,declaration number 1030,253.3214295091041,253.3214295091041,task 427,budget 1027,253.3214295091041,project 1028,declaration 1029,organizational unit 65454,travel permit number 1026,464.4944018304138,declaration 1029,travel permit 1025,travel permit 1025,budget 146727,UNKNOWN,253.3214295091041
st_step 1032_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-03-02 10:31:50+00:00,SUPERVISOR,travel permit number 1026,declaration number 1030,253.3214295091041,253.3214295091041,task 427,budget 1027,253.3214295091041,project 1028,declaration 1029,organizational unit 65454,travel permit number 1026,464.4944018304138,declaration 1029,travel permit 1025,travel permit 1025,budget 146727,UNKNOWN,253.3214295091041
rv_travel permit 1025_6,STAFF MEMBER,Start trip,2018-04-11 00:00:00+00:00,EMPLOYEE,travel permit number 1026,declaration number 1030,253.3214295091041,253.3214295091041,task 427,budget 1027,253.3214295091041,project 1028,declaration 1029,organizational unit 65454,travel permit number 1026,464.4944018304138,declaration 1029,travel permit 1025,travel permit 1025,budget 146727,UNKNOWN,253.3214295091041
rv_travel permit 1025_7,STAFF MEMBER,End trip,2018-04-13 00:00:00+00:00,EMPLOYEE,travel permit number 1026,declaration number 1030,253.3214295091041,253.3214295091041,task 427,budget 1027,253.3214295091041,project 1028,declaration 1029,organizational unit 65454,travel permit number 1026,464.4944018304138,declaration 1029,travel permit 1025,travel permit 1025,budget 146727,UNKNOWN,253.3214295091041
st_step 1036_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2018-04-24 13:51:32+00:00,EMPLOYEE,travel permit number 1026,declaration number 1030,253.3214295091041,253.3214295091041,task 427,budget 1027,253.3214295091041,project 1028,declaration 1029,organizational unit 65454,travel permit number 1026,464.4944018304138,declaration 1029,travel permit 1025,travel permit 1025,budget 146727,UNKNOWN,253.3214295091041
st_step 1035_0,STAFF MEMBER,Declaration APPROVED by ADMINISTRATION,2018-04-24 14:02:38+00:00,ADMINISTRATION,travel permit number 1026,declaration number 1030,253.3214295091041,253.3214295091041,task 427,budget 1027,253.3214295091041,project 1028,declaration 1029,organizational unit 65454,travel permit number 1026,464.4944018304138,declaration 1029,travel permit 1025,travel permit 1025,budget 146727,UNKNOWN,253.3214295091041
st_step 1034_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2018-04-24 14:20:06+00:00,SUPERVISOR,travel permit number 1026,declaration number 1030,253.3214295091041,253.3214295091041,task 427,budget 1027,253.3214295091041,project 1028,declaration 1029,organizational unit 65454,travel permit number 1026,464.4944018304138,declaration 1029,travel permit 1025,travel permit 1025,budget 146727,UNKNOWN,253.3214295091041
